Month,Date,Location,Phase of the day ,Target,additional Target info 1 ,additional Target info 2,Images name ,Folder idenifier ,additional info 1 ,additional info 2,additional info 3,additional info 3,additional info 4
August,11,Blue Mountain,Evening,anikf1,,,2022-08-12-0242_3-CapObj_0000.PNG,,-,,,,
August,11,Blue Mountain,Evening,anikf1,,,2022-08-12-0242_3-CapObj_0001.PNG,,-,,,,
August,11,Blue Mountain,Evening,anikf1,,,2022-08-12-0242_3-CapObj_0002.PNG,,-,,,,
August,11,Blue Mountain,Evening,anikf1,,,2022-08-12-0242_3-CapObj_0003.PNG,,-,,,,
August,11,Blue Mountain,Evening,anikf1,,,2022-08-12-0242_3-CapObj_0004.PNG,,-,,,,
August,11,Blue Mountain,Evening,anikf2,,,2022-08-12-0248_6-CapObj_0000.PNG,,-,,,,
August,11,Blue Mountain,Evening,anikf2,,,2022-08-12-0248_6-CapObj_0001.PNG,,-,,,,
August,11,Blue Mountain,Evening,anikf2,,,2022-08-12-0248_6-CapObj_0002.PNG,,-,,,,
August,11,Blue Mountain,Evening,anikf2,,,2022-08-12-0248_6-CapObj_0003.PNG,,-,,,,
August,11,Blue Mountain,Evening,anikf2,,,2022-08-12-0248_6-CapObj_0004.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink1,,,2022-08-12-0227_6-CapObj_0028.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink1,,,2022-08-12-0227_6-CapObj_0029.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink1,,,2022-08-12-0227_6-CapObj_0030.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink1,,,2022-08-12-0227_6-CapObj_0031.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink1,,,2022-08-12-0227_6-CapObj_0032.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink1,,,2022-08-12-0227_6-CapObj_0033.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink1,,,2022-08-12-0227_6-CapObj_0034.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink1,,,2022-08-12-0227_6-CapObj_0035.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink1,,,2022-08-12-0227_6-CapObj_0036.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink1,,,2022-08-12-0227_6-CapObj_0037.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink2,,,2022-08-12-0224_4-CapObj_0017.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink2,,,2022-08-12-0224_4-CapObj_0018.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink2,,,2022-08-12-0224_4-CapObj_0019.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink2,,,2022-08-12-0224_4-CapObj_0020.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink2,,,2022-08-12-0224_4-CapObj_0021.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink2,,,2022-08-12-0224_4-CapObj_0022.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink2,,,2022-08-12-0224_4-CapObj_0023.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink2,,,2022-08-12-0224_4-CapObj_0024.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink2,,,2022-08-12-0224_4-CapObj_0025.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink2,,,2022-08-12-0224_4-CapObj_0026.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink2,,,2022-08-12-0224_4-CapObj_0027.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink3,,,2022-08-12-0220_7-CapObj_0033.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink3,,,2022-08-12-0220_7-CapObj_0034.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink3,,,2022-08-12-0220_7-CapObj_0035.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink3,,,2022-08-12-0220_7-CapObj_0036.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink3,,,2022-08-12-0220_7-CapObj_0037.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink3,,,2022-08-12-0220_7-CapObj_0038.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink4,,,2022-08-12-0222_5-CapObj_0017.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink4,,,2022-08-12-0222_5-CapObj_0018.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink4,,,2022-08-12-0222_5-CapObj_0019.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink4,,,2022-08-12-0222_5-CapObj_0020.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink4,,,2022-08-12-0222_5-CapObj_0021.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink4,,,2022-08-12-0222_5-CapObj_0022.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink5,,,2022-08-12-0220_0-CapObj_0025.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink5,,,2022-08-12-0220_0-CapObj_0026.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink5,,,2022-08-12-0220_0-CapObj_0027.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink5,,,2022-08-12-0220_0-CapObj_0028.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink5,,,2022-08-12-0220_0-CapObj_0029.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink5,,,2022-08-12-0220_0-CapObj_0030.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink5,,,2022-08-12-0220_0-CapObj_0031.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink5,,,2022-08-12-0220_0-CapObj_0032.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink6,,,2022-08-12-0219_3-CapObj_0037.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink6,,,2022-08-12-0219_3-CapObj_0038.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink6,,,2022-08-12-0219_3-CapObj_0039.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink6,,,2022-08-12-0219_3-CapObj_0040.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink6,,,2022-08-12-0219_3-CapObj_0041.PNG,,-,,,,
August,11,Blue Mountain,Evening,starlink6,,,2022-08-12-0219_3-CapObj_0042.PNG,,-,,,,
August,11,Timmins,Evening,,,,2022-08-12-0713_5-CapObj_0000.PNG,,-,,,,
August,11,Timmins,Evening,,,,2022-08-12-0716_0-CapObj_0000.PNG,,-,,,,
August,12,Ottawa,Evening,Anik F1,,,Preview_20220812_214223_filter-1_10sec_Bin3_-10.6C_gain0.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,,Preview_20220812_214328_filter-1_10sec_Bin3_-9.6C_gain0.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-10.00C_10.000secs_00000176.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-10.00C_10.000secs_00000181.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-10.00C_10.000secs_00000186.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-10.00C_10.000secs_00000191.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-10.00C_10.000secs_00000196.fit,,-,,,,
August,12,Ottawa,Evening,Anik F1,,GoodImages-AnikF1,light_B Filter_-10.00C_10.000secs_00000202.fit,,-,,,,
